point_id,latitude,longitude,arrondissement,heat_class,heat_label,total_features,collisions_n,collisions_victimes,collisions_morts,collisions_blesses_graves,collisions_blesses_legers,collisions_gravite_pire,permis_n,permis_logements,permis_types_top,entraves_n,entraves_actives,entraves_raisons_top,entraves_fin_derniere,arbres_n,arbres_especes_top,arbres_dhp_moyen,emplacements_arbres_n
P00874,45.5094,-73.5628,Ville-Marie,4,Température plus chaude que la moyenne (à risque),9,0,0,0,0,0,,7,-8,Transformation(5); Démolition(2),0,0,,,1,Orme Homestead(1),32,1
P00875,45.5094,-73.5626,Ville-Marie,4,Température plus chaude que la moyenne (à risque),7,5,2,0,0,2,Léger,0,0,,0,0,,,1,Orme Pioneer(1),40,1
P00876,45.5094,-73.5624,Ville-Marie,4,Température plus chaude que la moyenne (à risque),18,0,0,0,0,0,,0,0,,0,0,,,9,Févier d'Amérique(8); Orme Pioneer(1),28.8,9
P00877,45.5094,-73.5622,Ville-Marie,4,Température plus chaude que la moyenne (à risque),10,0,0,0,0,0,,0,0,,0,0,,,5,Févier d'Amérique(5),23.8,5
P00878,45.5094,-73.562,Ville-Marie,3,Température plus proche de la moyenne,18,0,0,0,0,0,,0,0,,0,0,,,9,Févier d'Amérique(9),22.8,9
P00879,45.5094,-73.5618,Ville-Marie,3,Température plus proche de la moyenne,10,0,0,0,0,0,,0,0,,0,0,,,5,Orme Pioneer(3); Févier d'Amérique(2),27.2,5
P00880,45.5094,-73.5612,Ville-Marie,4,Température plus chaude que la moyenne (à risque),7,0,0,0,0,0,,5,71,Transformation(5),0,0,,,1,Robinier faux-acacia(1),5,1
P00881,45.5094,-73.561,Ville-Marie,4,Température plus chaude que la moyenne (à risque),17,0,0,0,0,0,,13,0,Transformation(13),0,0,,,2,Orme de Sibérie(1); Chicot du Canada(1),21,2
P00882,45.5094,-73.5608,Ville-Marie,4,Température plus chaude que la moyenne (à risque),2,0,0,0,0,0,,0,0,,0,0,,,1,Chicot du Canada(1),5,1
P00883,45.5094,-73.56,Ville-Marie,5,Îlot de chaleur,13,0,0,0,0,0,,13,0,Transformation(9); Abattage d'arbre(1); Travaux extérieurs(1),0,0,,,0,,,0
P00884,45.5094,-73.5592,Ville-Marie,4,Température plus chaude que la moyenne (à risque),5,0,0,0,0,0,,0,0,,0,0,,,2,Platane occidental(2),5,3
P00885,45.5094,-73.559,Ville-Marie,5,Îlot de chaleur,10,5,0,0,0,0,Dommages matériels,1,0,Transformation(1),0,0,,,2,Ginkgo à feuilles bilobées(1); Orme japonais du prospecteur(1),5,2
P00886,45.5094,-73.558,Ville-Marie,4,Température plus chaude que la moyenne (à risque),8,0,0,0,0,0,,8,0,Transformation(6); Certificat d'autorisation(1); Travaux extérieurs(1),0,0,,,0,,,0
P00887,45.5094,-73.5574,Ville-Marie,4,Température plus chaude que la moyenne (à risque),6,3,2,0,1,1,Grave,2,0,Construction(2),0,0,,,0,,,1
P00888,45.5094,-73.5572,Ville-Marie,4,Température plus chaude que la moyenne (à risque),9,0,0,0,0,0,,0,0,,0,0,,,4,Érable argenté(1); Orme Morton (Accolade TM)(1); Orme Homestead(1),21,5
P00889,45.5094,-73.557,Ville-Marie,4,Température plus chaude que la moyenne (à risque),6,0,0,0,0,0,,0,0,,0,0,,,3,Érable à sucre(1); Chicot du Canada(1); Orme Morton (Accolade TM)(1),5,3
P00890,45.5094,-73.5562,Ville-Marie,4,Température plus chaude que la moyenne (à risque),14,0,0,0,0,0,,0,0,,0,0,,,7,Mélèze laricin(2); Amelanchier laevis(1); Micocoulier occidental(1),5,7
P00891,45.5094,-73.556,Ville-Marie,4,Température plus chaude que la moyenne (à risque),24,0,0,0,0,0,,0,0,,0,0,,,12,Érable à sucre(3); Chicot du Canada(2); Mélèze laricin(2),5,12
P00892,45.5094,-73.5558,Ville-Marie,4,Température plus chaude que la moyenne (à risque),22,0,0,0,0,0,,0,0,,0,0,,,11,Amelanchier laevis(3); Micocoulier occidental(2); Érable argenté(1),5,11
P00893,45.5094,-73.5556,Ville-Marie,4,Température plus chaude que la moyenne (à risque),10,0,0,0,0,0,,0,0,,0,0,,,5,Amelanchier laevis(2); Pin noir(2); Chêne rouge(1),5,5
P00894,45.5094,-73.5554,Ville-Marie,4,Température plus chaude que la moyenne (à risque),5,0,0,0,0,0,,0,0,,0,0,,,1,Orme de Sibérie(1),22,4
P00895,45.5094,-73.5552,Ville-Marie,4,Température plus chaude que la moyenne (à risque),7,0,0,0,0,0,,0,0,,0,0,,,3,Peuplier Tower(3),33.3,4
P00896,45.5094,-73.555,Ville-Marie,4,Température plus chaude que la moyenne (à risque),6,0,0,0,0,0,,0,0,,0,0,,,3,Peuplier Tower(3),28,3
P00897,45.5092,-73.5796,Le Plateau-Mont-Royal,5,Îlot de chaleur,9,0,0,0,0,0,,9,13,Transformation combinée(6); Transformation(3),0,0,,,0,,,0
P00898,45.5092,-73.5794,Le Plateau-Mont-Royal,5,Îlot de chaleur,10,0,0,0,0,0,,10,0,Transformation combinée(9); T1:Transformation ext/PA/PIIA(1),0,0,,,0,,,0
P00899,45.5092,-73.579,,5,Îlot de chaleur,1,1,0,0,0,0,Dommages matériels (sous seuil),0,0,,0,0,,,0,,,0
P00900,45.5092,-73.5788,Le Plateau-Mont-Royal,5,Îlot de chaleur,1,0,0,0,0,0,,1,0,T1:Transformation ext/PA/PIIA(1),0,0,,,0,,,0
P00901,45.5092,-73.5786,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),4,0,0,0,0,0,,4,0,T1:Transformation ext/PA/PIIA(2); Transformation combinée(1); T2:Transf ext/PA  non requis(1),0,0,,,0,,,0
P00902,45.5092,-73.5784,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),4,0,0,0,0,0,,4,0,Transformation combinée(4),0,0,,,0,,,0
P00903,45.5092,-73.578,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),8,0,0,0,0,0,,8,3,Transformation combinée(3); Autorisation d'Abattage(2); T1:Transformation ext/PA/PIIA(1),0,0,,,0,,,0
P00904,45.5092,-73.5776,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),4,0,0,0,0,0,,4,1,T4:Transf. int. RBQ/NEXEMP(2); Transformation combinée(1); T1:Transformation ext/PA/PIIA(1),0,0,,,0,,,0
